strategy,quantile_value,abs_quantile_value
pcatr_290425_btc_60m_2,-0.1608538185859064,0.1608538185859064
pcatr_290425_rose_15m_2,-0.1073666713038889,0.1073666713038889
pcatr_290425_sol_15m_2,-0.0804675666112227,0.0804675666112227
pcatr_290425_mkr_60m_2,-0.0802953555183605,0.0802953555183605
pcatr_sol_15m_2,-0.0802719043485898,0.0802719043485898
pcatr_290425_sol_60m_2,-0.0789987058016672,0.0789987058016672
pcatr_290425_near_15m_2,-0.0654986195788367,0.0654986195788367
pcatr_290425_near_60m_2,-0.0371583735345869,0.0371583735345869
envelope_long_inj_15m_1,-0.0369806619445393,0.0369806619445393
envelope_long_dydx_15m_1,-0.0362999116060735,0.0362999116060735
pcatr_sol_15m_1,-0.0332925961452589,0.0332925961452589
bbtrend_hbar_05m_1,-0.0328251234816293,0.0328251234816293
pcatr_sol_30m_1,-0.0306977989209048,0.0306977989209048
fluger_sol_30m_1,-0.0301674884583948,0.0301674884583948
pcatr_sol_05m_1,-0.0297752427854,0.0297752427854
fluger_short_bch_30m_1,-0.0267863194444708,0.0267863194444708
fluger_avax_30m_1,-0.0262937131027956,0.0262937131027956
bbtrend_imx_05m_1,-0.0251347215049555,0.0251347215049555
pcatr_eth_60m_1,-0.0231126994779095,0.0231126994779095
fluger_atom_30m_1,-0.0220403075674296,0.0220403075674296
fluger_tao_60m_1,-0.0213318973303568,0.0213318973303568
fluger_short_ada_30m_1,-0.0205479286892493,0.0205479286892493
fluger_short_fil_30m_1,-0.0188210709611647,0.0188210709611647
pcatr_eth_30m_1,-0.0182892470063168,0.0182892470063168
bbtrend_short_atom_05m_1,-0.0176677698581932,0.0176677698581932
